,fid,plotid,images,mon_images,bfast_change,bfast_magnitude,bfast_means,cusum_change,cusum_confidence,cusum_magnitude,red_mean,red_sd,red_min,red_max,nir_mean,nir_sd,nir_min,nir_max,swir1_mean,swir1_sd,swir1_min,swir1_max,swir2_mean,swir2_sd,swir2_min,swir2_max,ndfi_mean,ndfi_sd,ndfi_min,ndfi_max,brightness,brightne_1,brightne_2,brightne_3,greenness_,greennes_1,greennes_2,greennes_3,wetness_me,wetness_sd,wetness_mi,wetness_ma,bs_slope_max,bs_slope_sd,bs_slope_min,bs_slope_mean,ccdc_change,ccdc_magnitude,aspect,dw_class_mode,dw_tree_prob__max,dw_tree_prob__min,dw_tree_prob__stdDev,dw_tree_prob_mean,elevation,esa_lc20,esa_lc21,esri_lc17,esri_lc18,esri_lc19,esri_lc20,esri_lc21,gfc_gain,gfc_loss,gfc_lossye,gfc_tc00,lang_tree_,potapov_tree_height,slope,tmf_2015,tmf_2016,tmf_2017,tmf_2018,tmf_2019,tmf_2020,tmf_defyea,tmf_degyea,tmf_main,tmf_sub,geometry,lon,lat
10,11,70175,364,184,2017.055,-394.0561218261719,-0.887061536312103,2015.26,0.554643064807326,20056.42393892332,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,9566.333527432711,556.6402075740169,7466.333333333333,10000.0,81.56649018081706,14.365498486494458,123.73119413775643,28.183135341485897,2016.992,-1341.7845381435345,285.0,1.0,76.0,63.0,1.0,73.0,44.7210693359375,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,93.0,20.0,13.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-91.87571050609158 17.496317494639303),-91.87571050609158,17.496317494639303
11,12,73181,200,109,2021.016,-269.4853210449219,-0.903204262256622,2021.849,0.177539544502625,2931.175382262956,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,9842.832415902141,193.2341416406287,9011.666666666666,10000.0,7.909330670365168,8.677316711710818,31.10180631183359,-13.049043134432976,2015.564,-699.072394934894,347.0,1.0,75.0,4.0,8.0,71.0,753.5682983398438,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,78.0,18.0,19.0,26.0,4.0,4.0,4.0,4.0,4.0,4.0,1999.0,0.0,30.0,32.0,POINT (-93.84047069405881 16.98328454113719),-93.84047069405881,16.98328454113719
12,13,73392,221,113,2021.937,338.5555419921875,0.255364030599594,2020.23,0.428584063986255,16682.9195743784,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,9345.348398651495,781.6518527946623,5832.5,10000.0,-55.37749647745123,26.02783295090659,29.35799034626244,-128.49393148781164,2015.63,-1288.3125342847607,197.0,1.0,76.0,19.0,9.0,71.0,653.049072265625,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,85.0,27.0,14.0,27.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.84322195940877 16.935148545265246),-93.84322195940877,16.935148545265246
13,14,73601,251,130,2019.616,-341.0423583984375,-0.745637118816376,2019.134,0.547156875158262,104213.00695970697,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,6356.344963369964,3555.5849790304765,-1905.5,10000.0,-291.8921833112423,107.89904782148729,49.20317413502791,-640.9722288082445,0.0,0.0,67.0,1.0,75.0,4.0,15.0,59.0,382.94781494140625,30.0,10.0,2.0,2.0,2.0,11.0,2.0,0.0,1.0,19.0,81.0,21.0,6.0,25.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.89269568559675 16.89584602858017),-93.89269568559675,16.89584602858017
14,15,72554,231,122,2016.638,-133.39292907714844,-1.18297803401947,2016.31,0.545639835907634,34616.03083528494,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,7903.721545667448,1219.6655752793583,4504.333333333333,9758.5,168.66925090724988,33.97775326439788,280.30060257782804,54.0963108557319,0.0,0.0,287.0,1.0,74.0,4.0,24.0,49.0,586.744140625,10.0,30.0,11.0,11.0,2.0,2.0,2.0,0.0,0.0,,97.0,14.0,10.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,2005.0,1998.0,43.0,41.0,POINT (-93.36379279144543 17.092166870660236),-93.36379279144543,17.092166870660236
15,16,72555,185,89,2015.301,245.85389709472656,0.66915088891983,2017.162,0.250383088332508,20687.64475655428,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,7234.818913857677,1422.9533737846043,1593.0,9965.0,-144.7312838043793,39.48457817205639,-40.893548408318736,-270.33626865785277,0.0,0.0,46.0,2.0,68.0,3.0,18.0,22.0,873.8556518554688,30.0,30.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,,28.0,12.0,9.0,18.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.31684737555476 17.089388850703937),-93.31684737555476,17.089388850703937
16,17,76638,370,204,2017.425,372.14483642578125,0.883588254451752,2015.06,0.544053664516829,138657.1876342203,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,6371.5757411297855,3763.8019930984306,-4705.714285714285,10000.0,577.2474011267715,80.53346529265824,845.4165681969207,329.1247258269946,2017.184,-3625.6410889016643,96.0,1.0,76.0,7.0,20.0,56.0,38.41533660888672,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,19.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-93.84155425561478 16.170296777971892),-93.84155425561478,16.170296777971892
17,18,71070,228,110,2017.164,671.933349609375,1.870004773139954,2017.975,0.554852179954844,2321.7675757575525,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,9962.665303030302,85.25348489964759,9601.0,10000.0,-1.437857821002801,1.683803019318504,4.054512737601526,-7.68144651841066,2018.699,-254.37698720465778,86.0,1.0,77.0,55.0,2.0,72.0,1499.38916015625,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,8.0,95.0,24.0,24.0,36.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1989.0,20.0,25.0,POINT (-92.49905716055488 17.356043093700002),-92.49905716055488,17.356043093700002
18,19,71071,266,135,2017.274,518.1013793945312,-0.728671669960022,2020.233,0.665325359391133,77859.3188712522,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,8544.611463844796,1927.049699144582,2175.0,10000.0,-274.4460897317065,65.68004340249904,-83.12373441143346,-515.8953418892228,2020.255,-5475.682126701916,167.0,1.0,75.0,14.0,16.0,61.0,692.7130126953125,30.0,30.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,13.0,80.0,14.0,8.0,13.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,70.0,91.0,POINT (-92.4520849900579 17.353251696440545),-92.4520849900579,17.353251696440545
19,20,71295,209,105,2017.274,782.2755737304688,1.079504132270813,2017.625,0.627435265665081,37234.64285714286,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,9483.88507936508,1177.2119528625929,5114.333333333333,10000.0,60.56439850858714,17.398384730636646,120.73963570165364,14.760162962139677,2017.953,-4475.986548639114,201.0,1.0,75.0,10.0,10.0,66.0,1740.4615478515625,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,5.0,95.0,20.0,15.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,2008.0,2005.0,43.0,41.0,POINT (-92.45513947427949 17.307973984343857),-92.45513947427949,17.307973984343857
20,21,73244,243,133,2020.279,214.482666015625,-0.098073422908783,2019.227,0.547037729952586,21493.24407447192,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,9408.270193340495,730.8040550788778,7115.0,10000.0,-33.19960966112943,21.884409261991415,32.45986226211776,-117.93548785067603,0.0,0.0,215.0,1.0,75.0,11.0,12.0,67.0,111.67839050292969,10.0,10.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,19.0,100.0,19.0,10.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2017.0,20.0,24.0,POINT (-90.89402157277125 16.79246177065603),-90.89402157277125,16.79246177065603
